"TASK","TIME","COST","LIFE AREA"
"wakeup"," 4:55am","",""
"turn on kettle"," 4:57am","",""
"uu "," 05:16 AM","",""
"poweron extension and mac mini"," 5:20am","",""
"continue transferring files from 2Tb hdd"," 5:22am","",""
"prep water"," 5:24","",""
"take warm water and mx3 "," 05:27 AM","",""
"refill water containers"," 5:34","",""
"assemble juicer"," 5:37","",""
"charge devices ","  5:39","",""
"fix bed and blanket"," 5:41am","",""
"Finish 1st glass of warm water "," 05:43 AM","",""
"Transfer prev logs to csv file "," 05:50 AM","",""
"Continue initiating transfer of files from 2tb"," 5:55am","",""
"Continue updating CSV logs"," 6am","",""
"Say a short prayer for Papas birthday today"," 6:02am","",""
"Continue updating CSV logs"," 6:11am","",""
"Break "," 06:16 AM","",""
"Continue updating CSV logs"," 6:30am","",""
"Continue initiating transfer of files from 2tb"," 6:32am","",""
"Continue updating CSV logs and sked for today"," 6:40am","",""
"uu "," 06:51 AM","",""
"Continue initiating transfer of files from 2tb"," 6:54am","",""
"fix stuff at room"," 6:59am","",""
"Continue initiating transfer of files from 2tb"," 7:07am","",""
"ask ChatGPT re: Synology"," 7:12am","",""
"do research on Google Keep with Google Calendar automations"," 7:22am","",""
"chat with Jacob re: amazing chatgpt"," 7:34am","",""
"Continue initiating transfer of files from 2tb"," 7:37am","",""
"take cold bath and dressup"," 8:05am","",""
"idle"," 8:10am","",""
"park Crosswind"," 8:15am","",""
"get karingking for MMT"," 8:17am","",""
"put log into obsidian"," 8:29am","",""
"do intial trial for CSV importation into google sheet"," 8:38am","",""
"attend to aircon cleaning"," 9:10am","",""
"prep to leave"," 9:18am","",""
"answer Maggie chat re ticket details"," 9:26am","",""
"travel time to ACSIE"," 1003am","",""
"receive money for sales of PAR-carton"," 1005am","10965",""
"travel time to bodega(prepare money for bodega)","10:31am","",""
"pay for / give money to Ludy for bodega","10:33am","-23500",""
"talk with Ludy re sim cards and sked for ","10:38am","",""
"travel time to Sucat toll gate","10:55am","",""
"pay via AutoSweep / charge from Bicutan to Sucat","10:57am","-84",""
"travel time to Waltermart Sucat"," 11:13am","",""
"proceed to grocery","11:18am","",""
"pay for grocery via gcash (chia seeds and bulgogi up)"," 11:31am","-600",""
"pay for wafffle","11:34am","-67",""
"pay for fresh lumpia","11:37am","-75",""
"proceed to carpark"," 11:39am","",""
"travel time to Southland gate","12:02pm","",""
"claim Postal id","12:04pm","",""
"travel time to LP Home "," 12:09 PM","",""
"idle / rest"," 12:19pm","",""
"eat lunch"," 12:32pm","",""
"assist Mama with anay issue at cabinet at room "," 01:53 PM","",""
"idle"," 2:14pm","",""
"nap"," 2:51pm","",""
"idle","  3:04pm","",""
"restore furnitures previous disarranged due to aircon cleaning"," 3:45pm","",""
"continue transfer of files from 2 tb","4:47pm","",""
"prep to leave"," 4:57pm","",""
"travel to kikiam stand at bfrv"," 5:15pm","",""
"pay for kikiam","5:19pm","-25",""
"travel time to jewel 7 cavite"," 5:34pm","",""
"tambay "," 05:45 PM","",""
"proceed to mercury drug bacoor","6:12pm","",""
"pay via chinabank atm for ensure choco"," 6:20pm","-967",""
"proceed to Jewel7"," 6:38pm","",""
"massage session"," 7:49pm","",""
"pay for massage "," 7:55om","-350",""
"pay for tip to Maam Irene"," 8:02pm","-250",""
"travel time to lp home "," 08:27 PM","",""
"bring stuff up"," 8:31pm","",""
"eat "," 08:52 PM","",""
"make carrot juice "," 09:23 PM","",""
"wash utensils "," 09:41 PM","",""
"dress down/rest"," 10:02pm","",""
"idle"," 10:12pm","",""
"prep to sleep"," 10:17pm","",""
"sleep"," 10:22pm","",""
