"TASK","TIME","COST","LIFE AREA"
"wakeup"," 6:31am","",""
"idle"," 6:33am","",""
"poweron extension"," 6:35","",""
"turn on kettle"," 6:37am","",""
"uu "," 06:50 Am","",""
"prep water"," 6:52","",""
"take warm water and mx3","  6:54","",""
"idle"," 6:58am","",""
"refill water containers","  7:05am","",""
"assemble juicer"," 7:08am","",""
"talk with Lani re: May 6 and 7"," 7:19am","",""
"charge devices ","  7:21am","",""
"fix bed and blanket"," 7:25am","",""
"idle"," 730am","",""
"receive call from Mama na nakacheckin na sila sa Baguio"," 7:32am","",""
"take warm water while dress for walking / wear headset / audiobook / wear socks ","  7:38am","",""
"prep to leave"," 7:53","",""
"proceed to Moonwalk"," 8:02am","",""
"pay for fruits (oraange and pakwan)"," 8:07am","-140",""
"pay for carrots","8:12am","-200",""
"proceed to LP HOME"," 8:21am","",""
"dress down "," 08:25 AM","",""
"eat breakfast (champorado)"," 8:35am","",""
"wash peel and slice carrots"," 9am","",""
"wash utensils "," 09:18 AM","",""
"prep stuff to bring","9:33am","",""
"prep to leave"," 9:43am","",""
"travel time to Golden Haven"," 10:10am","",""
"setup"," 10:19am","",""
"tambay"," 11:04am","",""
"travel time to KFC"," 11:28am","",""
"pay for additional for Lanis expense for 15pc chicken","11:32am ","-32",""
"wait for order"," 11:40am","",""
"travel time to ( LP-Home )"," 11:46aM","",""
"bring stuff up"," 11:52am","",""
"dress down/rest","  11:55a","",""
"answer phone call with seller "," 11:59 AM","",""
"eat lunch "," 12:16 PM","",""
"receive money for Mama smart load","12:18pm","600",""
"idle"," 12:40pm","",""
"nap"," 4pm","",""
"fix bed "," 04:05 PM","",""
"wiwi"," 4:07pm","",""
"idle"," 4:35pm","",""
"install synology with Jacob"," 6:37pm","",""
"transfer location of synology into room"," 6:45pm","",""
"pay for laundry service for Selma (with P100 tip)","6:50pm","-600",""
"do trial usage for synology ","7:28 PM","",""
"eat dinner"," 7:48pm","",""
"make carrot juice "," 8;27pm","",""
"wash utensils"," 8:40pm","",""
"take warm bath"," 9pm","",""
"bring down pinlantsa"," 9:04pm","",""
"wait for MMT to finish organizing clothes"," 920pm","",""
"attend online mass "," 10:34 PM","",""
"receive money from Black bag","10:36pm","1000",""
"pay for /.give money to Ate Betty for palengke"," 10:40pm","-1000",""
"do research on configuration for use of ImportData on Google Sheets"," 12:10am","",""
"prep to sleep"," 12:15am","",""
"sleep"," 12:20am","",""
